country,ccr_score,protected_hectares,tourist_pressure,length_of_stay,seasonality,gdp_per_capita_usd,gdp_per_capita_ppp,tertiary_enrolment,internet_users_pct,urban_pop_large_pct,forest_area_pct,hospital_beds_p1k,logistics_perf_idx,rural_pop_pct,unesco_sites,airports_intl,CCR,BCC,SuperEff,SBM
Germany,0.9838436,13522941.0,13.1781348450754,2.42099746957389,1284.4976349540268,50506.5179638543,69048.9884036885,77.3656997680664,91.62984383,9.69253663834609,32.685482024273,7.64,4.1,18.2132147219005,54,318,0.9838436258479738,1.0,0.9838436258479736,0.9415466391921674
Greece,0.8358075,1417900.0,25.236211298399,4.11402595307685,1297.8253675367023,20886.5243087629,39612.4406377916,166.389556884766,83.17066333,30.2176550429525,30.2699767261443,4.27,3.7,21.4497809019191,19,67,0.8358074769205597,0.9977257072856914,0.8358074769205597,0.6059660241274895
Hungary,0.6842043,2062476.0,5.91661527212922,2.49845245510546,919.791179373482,18428.028825614,44365.9108128343,60.2746810913086,89.14282688,18.4819710915293,22.4643754109139,6.63,3.2,29.8414935756555,9,20,0.6842043074319699,0.6976095036024968,0.6842043074319699,0.4850173148205299
Ireland,0.9788837,275560.0,40.9626905211206,3.60004479220218,1804.2647067026965,105190.685952731,138522.517800204,77.5933380126953,95.03690338,24.0936603415108,11.4678472927856,2.94,3.6,36.1079749784941,2,16,0.9788836672027208,1.0000000000000004,0.9788836672027208,0.8067310168284536
Italy,0.6602105,4287940.0,31.165713372855,3.34616178702814,937.1283827130555,35653.9042103495,57260.8945372493,73.8962097167969,85.06074504,19.3614794349248,32.7125321249831,3.06,3.7,30.5160220233461,60,99,0.6602104570439733,0.8705647340351946,0.6602104570439733,0.4832980804632668
Latvia,0.8421937,1089025.0,2.2366750074608,1.79442604981125,912.6318084535416,20221.103686109,40558.7495841122,91.3303680419922,91.03009059,,54.933793990037,5.02,3.5,31.7429781890966,2,18,0.8421936849991396,1.0,0.8421936849991396,0.4895916925733032
Lithuania,0.698666,1114280.0,3.5826273468069,2.12267581818865,760.7235848683927,25085.784063499,50936.0049547442,76.9154586791992,87.72420219,,35.2036435371542,5.71,3.4,31.7133547573187,5,22,0.6986660105772923,0.717802038588612,0.6986660105772923,0.4453969814655572
Luxembourg,0.9111492,143654.868,10.0381909786725,2.41738515361971,656.4465087621503,123719.658915996,146919.145398494,21.032600402832,98.24203749,,34.4538272103664,3.99,3.6,5.23945990598151,1,1,0.9111491978290852,1.0,0.9111491978290852,0.7126544474596275
Malta,1.0,2432.0,925.986842105263,4.39266962699822,2114.9562585317,35638.8869457406,60588.8890591794,74.5901336669922,91.54062209,,1.4375,4.09,3.3,4.3996844867121,3,1,1.0,1.0,1.3619638064287418,1.0
Montenegro,0.8045974,123739.999999999,11.6061580733796,3.56856545225903,1039.77309290831,10024.5435616209,28049.6156106324,57.4317893981934,88.22192026,,61.4869888475836,3.82,2.8,34.5987034559134,4,5,0.8045973683447967,1.0,0.8045973683447967,0.6382087731088946
Netherlands,0.8357533,851851.0,57.9958126479865,2.87978833446202,1108.9590629253182,59123.318556487,78630.3599072098,89.3898620605469,92.51968504,12.3189380114617,11.0296673596674,2.42,4.1,5.01438222658641,13,20,0.8357533045341037,1.0,0.8357533045341037,0.7694682783789409
NorthMacedonia,0.4086667,388388.0,2.57339567648846,2.07401278269813,461.89350864021145,7606.2375253797,24212.2818885331,53.1601181030273,83.85030365,,39.7101506740682,4.74,3.1,38.0469433392733,2,10,0.408666713536169,1.0,0.408666713536169,0.233827744351813
Norway,0.9820404,2039911.99999999,9.46344107000694,1.91894765736247,663.889195141269,109269.520580298,125489.548935602,97.6419830322266,98.99997764,19.6268476068085,33.4795618634529,3.35,3.7,17.0436338183966,8,67,0.9820403792878808,0.9904238282625611,0.9820403792878808,0.8675154466391745
Poland,0.9167118,11638260.0,3.11379888402561,2.56070383560608,1276.9025301727615,18891.2121169279,46777.5524519162,75.2911071777344,86.94113479,4.87356534856614,31.0594923061845,6.04,3.6,40.1684511951679,17,87,0.9167118472609962,0.9469498845826712,0.9167118472609962,0.715057361696137
Portugal,0.8945386,1575616.32,19.5562343502509,2.75489221767271,1305.4165720843005,24620.5197587181,45250.0148759865,75.0714797973633,84.49690644,41.2724935338458,36.154994891142,3.48,3.4,38.8740744227218,18,43,0.894538600276202,0.961362276026036,0.894538600276202,0.71179621010681
Romania,0.6043875,5613952.0,2.43424400493627,2.13713940910141,758.9649147461001,15503.551804598,41979.2586767087,58.2390403747559,85.50309124,9.3723590442965,30.1158292767733,7.23,3.2,47.8365167522728,11,26,0.6043875359796622,0.6501650046762185,0.6043875359796622,0.3640715139370856
Serbia,0.4873415,681129.0,6.15565773884242,2.96721615666105,785.93432541436,10024.8191112596,26142.8279237665,69.8046798706055,83.53825397,21.0848938899525,32.3858163872042,5.78,2.8,38.0986186459604,5,11,0.4873415179429847,0.4925150823690849,0.4873415179429847,0.2775339467193723
Slovakia,0.529006,,,2.58769118655136,770.4341482090697,21317.7943982363,41562.1497793913,52.4959106445312,89.06766196,,40.05615640599,5.65,3.3,46.8097168927472,8,19,0.5290059786960946,0.5436504520512729,0.5290059786960946,0.3607075712686052
Slovenia,0.8585941,807393.45,7.66141835805083,2.6031971074298,931.3502445854544,28360.3041467268,52347.109726538,82.3922576904297,88.91248552,,61.2701922885918,4.11,3.3,44.6622182126437,5,7,0.8585941322509675,0.9062208226292624,0.8585941322509675,0.6315125392609007
Spain,0.7908293,8944583.45999999,16.1920711733176,3.34863650221762,1384.9455282322135,30319.4987196616,51398.9310403407,95.0271606445312,94.4855432,25.8904335825508,37.1827922798055,2.94,3.9,20.0451205432186,50,96,0.7908293161533915,1.0000000000000002,0.7908293161533915,0.6182259281889374
Sweden,1.0,6312685.0,5.20432684349052,1.94489337988698,829.9523804102689,54836.8907235124,67075.6762724717,83.8976135253906,95.00970335,16.0108653228811,68.6996660773915,1.9,4.0,11.5961423495191,15,149,1.0,1.0,1.149146097817357,1.0
Switzerland,0.9463131,478066.522999999,54.261555143446,2.28642080553701,1005.2911486184764,94394.5106803525,94421.4576550424,74.1526794433594,96.45279694,16.1741684713654,32.2956707010417,4.41,4.1,15.0793733715479,13,40,0.9463130586696208,0.9622485206881806,0.9463130586696208,0.6547459598106702
Türkiye,0.8738877,4386891.0,17.6202442686631,2.6286267535378,1233.7745105544518,10897.8397861365,39564.1103267333,127.577972412109,83.43716576,38.0638151512346,29.2768733027559,3.01,3.4,10.9618835449219,21,91,0.8738876933371947,0.974927898675672,0.8738876933371948,0.5031171911736414
